City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kaitangata,12,NZ,1523923853,56,-46.28,169.85,54.95,25.21
1,champerico,5,MX,1523918820,44,16.38,-93.6,80.6,26.4
2,san juan,20,PH,1523923200,55,14.6,121.03,86.0,5.82
3,ushuaia,20,AR,1523919600,81,-54.81,-68.31,42.8,3.36
4,alofi,75,NU,1523919600,61,-19.06,-169.92,80.6,16.11
5,port elizabeth,90,US,1523922900,66,39.31,-74.98,51.8,11.41
6,longyearbyen,90,NO,1523922600,94,78.22,15.63,33.8,13.87
7,bluff,0,AU,1523923856,52,-23.58,149.07,81.32,4.63
8,tortoli,0,IT,1523919300,36,39.93,9.66,62.6,11.41
9,taunggyi,20,MM,1523923856,84,20.78,97.03,61.75,1.95
10,arraial do cabo,40,BR,1523919600,94,-22.97,-42.02,69.8,12.91
11,hermanus,0,ZA,1523923857,79,-34.42,19.24,54.68,2.51
12,northam,0,GB,1523919000,81,51.04,-4.21,51.8,19.46
13,east london,68,ZA,1523923858,100,-33.02,27.91,74.66,25.1
14,halifax,90,CA,1523919600,80,44.65,-63.58,33.8,13.87
15,lebu,48,ET,1523923859,90,8.96,38.73,48.88,2.39
16,puerto ayora,20,EC,1523919600,69,-0.74,-90.35,78.8,13.87
17,makaha,90,US,1523922360,74,21.47,-158.22,82.4,11.41
18,carnarvon,92,ZA,1523923860,99,-30.97,22.13,54.37,3.85
19,jamestown,48,AU,1523923861,81,-33.21,138.6,59.99,8.77
20,leningradskiy,68,RU,1523923861,100,69.38,178.42,30.47,20.62
21,vestmannaeyjar,88,IS,1523923861,81,63.44,-20.27,47.08,28.34
22,upernavik,20,GL,1523923862,100,72.79,-56.15,7.16,13.24
23,punta arenas,75,CL,1523919600,93,-53.16,-70.91,42.8,8.05
24,busselton,36,AU,1523923862,100,-33.64,115.35,66.65,13.02
25,dutlwe,32,BW,1523923863,70,-23.98,23.93,66.25,11.34
26,hobart,20,AU,1523921400,40,-42.88,147.33,53.6,16.11
27,bredasdorp,0,ZA,1523919600,87,-34.53,20.04,59.0,2.24
28,miri,0,NG,1523923864,65,10.31,9.75,72.1,4.18
29,cherskiy,44,RU,1523923864,83,68.75,161.3,24.17,2.39
30,dikson,64,RU,1523923865,91,73.51,80.55,3.47,15.59
31,velika obarska,44,BA,1523923865,64,44.8,19.17,60.22,4.74
32,new norfolk,20,AU,1523921400,40,-42.78,147.06,53.6,16.11
33,khatanga,8,RU,1523923866,75,71.98,102.47,11.57,3.96
34,great yarmouth,8,GB,1523922600,70,52.61,1.73,48.2,10.29
35,barrow,48,AR,1523923867,51,-38.31,-60.23,76.33,21.3
36,mataura,20,NZ,1523923867,68,-46.19,168.86,52.7,24.09
37,hithadhoo,88,MV,1523923867,100,-0.6,73.08,84.07,7.65
38,lorengau,64,PG,1523923801,98,-2.02,147.27,84.43,4.07
39,yellowknife,90,CA,1523920560,62,62.45,-114.38,23.0,10.29
40,karaton,20,ID,1523921400,83,-6.34,106.1,80.6,4.7
41,albany,75,US,1523923500,75,42.65,-73.75,46.4,5.82
42,kichera,48,RU,1523923869,74,55.93,110.1,26.96,1.95
43,panuco,76,MX,1523923869,23,22.88,-102.54,74.57,4.85
44,ilulissat,0,GL,1523922600,78,69.22,-51.1,15.8,2.24
45,avarua,75,CK,1523919600,65,-21.21,-159.78,82.4,9.17
46,merauke,32,ID,1523923870,84,-8.49,140.4,85.73,7.43
47,chuy,44,UY,1523923871,78,-33.69,-53.46,68.5,15.82
48,manta,56,RO,1523923871,66,45.1,24.1,50.23,3.74
49,lompoc,40,US,1523921700,47,34.64,-120.46,60.8,16.11
50,tazmalt,40,DZ,1523919600,93,36.39,4.4,59.0,6.93
51,mikhaylovka,88,RU,1523923872,70,52.96,103.29,36.23,3.74
52,dingle,0,PH,1523923873,71,11.0,122.67,82.31,10.0
53,kirovskiy,68,RU,1523923873,51,45.09,133.51,51.89,7.09
54,clyde river,90,CA,1523920440,78,70.47,-68.59,10.4,12.75
55,provideniya,90,RU,1523921400,80,64.42,-173.23,33.8,8.95
56,mata,75,CU,1523919060,73,22.63,-79.93,73.4,4.7
57,inuvik,40,CA,1523919600,37,68.36,-133.71,24.8,10.29
58,christchurch,48,NZ,1523921400,35,-43.53,172.64,69.8,20.8
59,rikitea,44,PF,1523923875,100,-23.12,-134.97,77.23,18.28
60,fairbanks,1,US,1523919480,26,64.84,-147.72,44.6,9.17
61,nikolskoye,75,RU,1523921400,76,59.7,30.79,48.2,6.71
62,sept-iles,90,CA,1523919600,68,50.2,-66.38,30.2,3.36
63,bambanglipuro,8,ID,1523923876,93,-7.95,110.28,76.82,3.06
64,kisangani,64,CD,1523923876,98,0.52,25.21,72.05,3.29
65,kapaa,90,US,1523919360,74,22.08,-159.32,78.8,17.22
66,nelson bay,75,AU,1523921400,73,-32.72,152.14,69.8,17.22
67,katete,48,UG,1523923877,94,-0.78,29.75,61.16,2.28
68,loreto,8,PY,1523923878,65,-23.27,-57.32,78.58,6.87
69,siniscola,0,IT,1523919000,77,40.57,9.69,59.0,19.46
70,eureka,75,US,1523921700,66,40.8,-124.16,53.6,12.75
71,mar del plata,20,AR,1523923879,49,-46.43,-67.52,57.11,23.2
72,frontera,75,MX,1523918640,51,18.53,-92.64,80.6,16.11
73,cidreira,36,BR,1523923880,73,-30.17,-50.22,69.53,13.91
